course_id,club_id,course_name,holes,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00042-01,USA-AL-00042,Montgomery National,18,72,Parkland,Joe Finger/Byron Nelson,1975,Open,20,25,20,N/D,N/D,USD
USA-AL-00043-01,USA-AL-00043,East,18,70,Parkland,Donald Ross,1927,Closed,~,~,~,N/D,N/D,USD
USA-AL-00043-02,USA-AL-00043,West,18,71,Parkland,Donald Ross,1929,Closed,~,~,~,N/D,N/D,USD
USA-AL-00044-01,USA-AL-00044,Brewton,18,72,Parkland,Jerry Pate,1997,Open,45,55,30,N/D,N/D,USD
USA-AL-00046-01,USA-AL-00046,Cotton Creek,18,72,Parkland,Arnold Palmer/Ed Seay,1987,Open,69,69,69,N/D,N/D,USD
USA-AL-00046-02,USA-AL-00046,Cypress Bend,18,72,Parkland,Arnold Palmer/Ed Seay,1993,Open,69,69,69,N/D,N/D,USD
USA-AL-00047-01,USA-AL-00047,Cullman Municipal,18,72,Parkland,Kranet,1950,Open,30,35,29,N/D,N/D,USD
USA-AL-00048-01,USA-AL-00048,Cypress Lakes,18,71,Parkland,Gary Baird,1991,Open,26,26,26,Bermuda,N/D,USD
USA-AL-00049-01,USA-AL-00049,University,18,72,Parkland,N/D,1932,Closed,~,~,~,N/D,N/D,USD
USA-AL-00049-02,USA-AL-00049,River,18,71,Parkland,N/D,1932,Closed,~,~,~,N/D,N/D,USD
USA-AL-00050-01,USA-AL-00050,Decatur,18,71,Parkland,Gary Baird,1943,Open,30,30,30,Bermuda,Bent,USD
USA-AL-00052-01,USA-AL-00052,Deerfield,18,72,Parkland,N/D,1993,Open,20,25,20,N/D,N/D,USD
USA-AL-00053-01,USA-AL-00053,Demopolis,18,72,Parkland,N/D,1958,Closed,~,~,~,N/D,N/D,USD
USA-AL-00054-01,USA-AL-00054,DeSoto,9,36,Parkland,N/D,1974,Open,9,9,9,N/D,N/D,USD
USA-AL-00055-01,USA-AL-00055,Dogwood Hills,18,72,Parkland,Bryce Slater,1937,Open,13,13,13,N/D,N/D,USD
USA-AL-00056-01,USA-AL-00056,Dogwood Hills & Gardens,18,72,Parkland,Bryce Slater,1977,Open,30,40,30,N/D,N/D,USD
USA-AL-00057-01,USA-AL-00057,Dothan,18,70,Parkland,Hugh Moore,1957,Closed,~,~,~,N/D,Bermuda,USD
USA-AL-00058-01,USA-AL-00058,Dothan National,18,72,Parkland,Robert Simmons,1968,Open,30,30,20,N/D,N/D,USD
USA-AL-00059-01,USA-AL-00059,Eagle Point,18,71,Parkland,Earl Stone,1990,Open,34,44,34,Bermuda,Bent,USD
USA-AL-00060-01,USA-AL-00060,Emerald Mountain,18,72,Parkland,Ward Northrup,2000,Open,35,45,35,N/D,N/D,USD
USA-AL-00061-01,USA-AL-00061,Enterprise,18,72,Parkland,Ken Pittman,1960,Closed,~,~,~,N/D,N/D,USD
USA-AL-00062-01,USA-AL-00062,Eufaula,18,72,Parkland,N/D,1916,Closed,~,~,~,N/D,N/D,USD
USA-AL-00063-01,USA-AL-00063,Evans Barnes,18,72,Parkland,Evans Barnes,1977,Open,15,17,15,N/D,N/D,USD
USA-AL-00063-02,USA-AL-00063,Evans Barnes (Alternate Tees),18,72,Parkland,Evans Barnes,1977,Open,15,17,15,N/D,N/D,USD
USA-AL-00064-01,USA-AL-00064,Evergreen,9,36,Parkland,N/D,1921,Closed,~,~,~,N/D,N/D,USD
USA-AL-00065-01,USA-AL-00065,Farmlinks at Pursell Farms,18,72,Parkland,Michael Hurdzan Dana Fry,2003,Open,125,149,125,N/D,N/D,USD
USA-AL-00067-01,USA-AL-00067,Fox Run,18,72,Parkland,Robin Naway,1997,Open,15,17,15,N/D,N/D,USD
USA-AL-00069-01,USA-AL-00069,Gadsden,18,71,Parkland,Bill Bergin,1919,Closed,~,~,~,N/D,N/D,USD
USA-AL-00070-01,USA-AL-00070,Vista-Dunes,18,72,Parkland,Bruce Devlin/Robert Von Hagge,1984,Open,49,49,49,N/D,N/D,USD
USA-AL-00070-02,USA-AL-00070,The Lakes,9,35,Parkland,Bruce Devlin/Robert Von Hagge,1984,Open,29,29,29,N/D,N/D,USD
